x41 t10,,
Wavelength (nm),Abs,
349,0.1141134873,
348,0.09905359894,
347,0.09845175594,
346,0.1002760604,
345,0.09964774549,
344,0.1000374258,
343,0.1007995233,
342,0.1010142416,
341,0.1008569598,
340,0.101865992,
339,0.1029948369,
338,0.1015794128,
337,0.1041804478,
336,0.1042098328,
335,0.1053953692,
334,0.1054926217,
333,0.1062035933,
332,0.1065955013,
331,0.106930837,
330,0.1082340255,
329,0.1083951965,
328,0.1089799777,
327,0.11049705,
326,0.1100667492,
325,0.1121113449,
324,0.1114936545,
323,0.1129290536,
322,0.1143399402,
321,0.11602927,
320,0.1166321486,
319,0.1181010008,
318,0.1191392392,
317,0.121863693,
316,0.1223592684,
315,0.1240200996,
314,0.125460878,
313,0.1287606359,
312,0.1314394772,
311,0.1325714439,
310,0.135478422,
309,0.1397917569,
308,0.1389614791,
307,0.1436693519,
306,0.1493203342,
305,0.1583833098,
304,0.1666756719,
303,0.1789361387,
302,0.1935780644,
301,0.2101227045,
300,0.2286639512,
299,0.2501250505,
298,0.2705210149,
297,0.2910199165,
296,0.3105613887,
295,0.3296428025,
294,0.3495402336,
293,0.3691262007,
292,0.3896279633,
291,0.4104959369,
290,0.4306812286,
289,0.4481804669,
288,0.4667919576,
287,0.4860853553,
286,0.5029887557,
285,0.524713397,
284,0.5438509583,
283,0.5649953485,
282,0.5862236619,
281,0.6091222167,
280,0.6313998103,
279,0.6555457711,
278,0.6789425015,
277,0.7047598362,
276,0.7290027738,
275,0.7532235384,
274,0.7768624425,
273,0.8009114861,
272,0.8222578168,
271,0.8436414599,
270,0.862929523,
269,0.8816210628,
268,0.8985009789,
267,0.9135034084,
266,0.9272458553,
265,0.9389929771,
264,0.9475995302,
263,0.9548757076,
262,0.9588357806,
261,0.9627606869,
260,0.9630109668,
259,0.9630222321,
258,0.9595527053,
257,0.9557175636,
256,0.9510810971,
255,0.9465777278,
254,0.9396890998,
253,0.9334382415,
252,0.9279090166,
251,0.921859622,
250,0.9153379202,
249,0.9096867442,
248,0.903834641,
247,0.8987700343,
246,0.8950846195,
245,0.8921836019,
244,0.8916435838,
243,0.8921403885,
242,0.8954720497,
241,0.9000905156,
240,0.9079782367,
239,0.9173926115,
238,0.9300724864,
237,0.9468289018,
236,0.9665372372,
235,0.9919521213,
234,1.02127552,
233,1.055370212,
232,1.094727159,
231,1.140812516,
230,1.193621635,
229,1.254843593,
228,1.32869482,
227,1.41444838,
226,1.516759515,
225,1.634464502,
224,1.777744651,
223,1.937905908,
222,2.129063368,
221,2.34100914,
220,2.580838919,

x41 t10,
x41 t10
Collection Time: 1/09/2024 3:29:45 PM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

