x69 t0,,
Wavelength (nm),Abs,
349,0.07449939847,
348,0.05813095346,
347,0.05846747383,
346,0.06013540924,
345,0.05975098908,
344,0.05917297676,
343,0.06032340601,
342,0.0600447394,
341,0.06004631519,
340,0.06151980534,
339,0.06163423136,
338,0.06180499867,
337,0.06297706813,
336,0.06304536015,
335,0.06385353953,
334,0.06416016072,
333,0.06576755643,
332,0.06656295806,
331,0.06638590246,
330,0.06679230928,
329,0.06827805936,
328,0.06925097853,
327,0.06961509585,
326,0.06955694407,
325,0.07213929296,
324,0.07244219631,
323,0.07315663248,
322,0.07435695827,
321,0.07607495785,
320,0.07549634576,
319,0.07814002782,
318,0.07827320695,
317,0.08072210848,
316,0.08135339618,
315,0.08272726089,
314,0.08299962431,
313,0.08668575436,
312,0.08652080595,
311,0.08667867631,
310,0.08884108812,
309,0.09064206481,
308,0.0918585062,
307,0.09333024174,
306,0.09444066137,
305,0.09673502296,
304,0.09807641059,
303,0.09985097498,
302,0.1021022275,
301,0.1042242423,
300,0.1064036414,
299,0.1092827693,
298,0.1121784672,
297,0.1144763082,
296,0.1182350889,
295,0.1221705303,
294,0.1267237663,
293,0.1307047904,
292,0.1379954517,
291,0.1455600709,
290,0.1553987861,
289,0.1639978439,
288,0.1777228713,
287,0.1944875568,
286,0.2124895453,
285,0.2363601178,
284,0.2634575069,
283,0.2954586148,
282,0.3309643865,
281,0.3699704707,
280,0.4128271639,
279,0.4582325816,
278,0.5036327839,
277,0.5523026586,
276,0.5994393826,
275,0.6474353075,
274,0.6931625605,
273,0.7395936251,
272,0.7847874761,
271,0.8280009031,
270,0.8682202101,
269,0.9070243239,
268,0.9418786168,
267,0.9724082947,
266,1.002051711,
265,1.027030468,
264,1.047932267,
263,1.063983679,
262,1.07825458,
261,1.087286711,
260,1.092182398,
259,1.095620394,
258,1.095789671,
257,1.092575073,
256,1.088297486,
255,1.083579063,
254,1.076255918,
253,1.069445372,
252,1.063060284,
251,1.055043697,
250,1.046756506,
249,1.039066434,
248,1.031023979,
247,1.023849845,
246,1.019678593,
245,1.016195774,
244,1.015662551,
243,1.016927958,
242,1.020715356,
241,1.024626732,
240,1.031857252,
239,1.041112185,
238,1.052705646,
237,1.067859888,
236,1.086151361,
235,1.106973767,
234,1.131665945,
233,1.159597754,
232,1.192388535,
231,1.228236079,
230,1.269759297,
229,1.316116452,
228,1.368090034,
227,1.426177144,
226,1.493280649,
225,1.571385503,
224,1.661651373,
223,1.768647909,
222,1.894390345,
221,2.042470217,
220,2.223488569,

x69 t0,
x69 t0
Collection Time: 17/02/2025 7:00:30 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

