x84 t5,,
Wavelength (nm),Abs,
349,0.07978582382,
348,0.0634560138,
347,0.06400640309,
346,0.06632317603,
345,0.06530873477,
344,0.0658487305,
343,0.06564445049,
342,0.06612399966,
341,0.06695904583,
340,0.06664352864,
339,0.06836943328,
338,0.0685043484,
337,0.06901092082,
336,0.06887166202,
335,0.07029847801,
334,0.07114540786,
333,0.07219061255,
332,0.07313203067,
331,0.07309407741,
330,0.07400691509,
329,0.07453292608,
328,0.07625631243,
327,0.07642962784,
326,0.07715010643,
325,0.07925245911,
324,0.07866575569,
323,0.07951521873,
322,0.08114646375,
321,0.08251645416,
320,0.0831149295,
319,0.08428064734,
318,0.08494527638,
317,0.0864944905,
316,0.08783622831,
315,0.08869653195,
314,0.09045919031,
313,0.0930179432,
312,0.09373725951,
311,0.0951262489,
310,0.0983530879,
309,0.1019290015,
308,0.1058958396,
307,0.1103885248,
306,0.1161792576,
305,0.12440788,
304,0.1336644441,
303,0.1468045861,
302,0.1625820994,
301,0.1815363616,
300,0.2025611699,
299,0.2259391099,
298,0.2497706711,
297,0.2728722095,
296,0.2952214181,
295,0.3168461621,
294,0.3384982944,
293,0.3598642945,
292,0.3819832206,
291,0.4042436182,
290,0.4251892269,
289,0.4428761303,
288,0.4611706436,
287,0.4780877531,
286,0.4935702682,
285,0.5096217394,
284,0.5256409049,
283,0.54119277,
282,0.5564269423,
281,0.5720466971,
280,0.5876364112,
279,0.603769958,
278,0.6191827059,
277,0.636590898,
276,0.6533790231,
275,0.6702073216,
274,0.6861922145,
273,0.7026537657,
272,0.7179784775,
271,0.7326133251,
270,0.7476860285,
269,0.7611638308,
268,0.7740699053,
267,0.7856150866,
266,0.7974542975,
265,0.8073192239,
264,0.8163697124,
263,0.8234162927,
262,0.82920748,
261,0.833681047,
260,0.8351821899,
259,0.8363213539,
258,0.8357821703,
257,0.834415257,
256,0.8323008418,
255,0.8307174444,
254,0.8275024295,
253,0.8250340819,
252,0.8214301467,
251,0.8168046474,
250,0.8130792975,
249,0.8094810843,
248,0.8034207225,
247,0.7988972664,
246,0.7957708836,
245,0.7925370932,
244,0.7915421724,
243,0.7911149859,
242,0.79290241,
241,0.7960209846,
240,0.8017410636,
239,0.8075935245,
238,0.8182802796,
237,0.8309571743,
236,0.8464939594,
235,0.8670836687,
234,0.8906139135,
233,0.9196562171,
232,0.9526054859,
231,0.990621686,
230,1.035047293,
229,1.085815668,
228,1.143946767,
227,1.210914969,
226,1.29018259,
225,1.37962389,
224,1.486260176,
223,1.609811544,
222,1.754257321,
221,1.920363784,
220,2.118054152,

x84 t5,
x84 t5
Collection Time: 17/02/2025 9:41:45 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name                E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 162.00
<Current Wavelength> , 220.00

