x29 t0,,
Wavelength (nm),Abs,
349,0.09317623079,
348,0.09201918542,
347,0.0938231647,
346,0.09548451006,
345,0.09427444637,
344,0.09552044421,
343,0.09506505728,
342,0.09626883268,
341,0.09786213189,
340,0.09523814917,
339,0.0973630175,
338,0.0979609862,
337,0.09805152565,
336,0.0990242362,
335,0.09768248349,
334,0.09953203052,
333,0.1003327668,
332,0.1009313166,
331,0.1020560265,
330,0.1022804379,
329,0.1025887877,
328,0.1050945222,
327,0.1054832786,
326,0.1057792157,
325,0.1061656177,
324,0.1080592275,
323,0.1082525551,
322,0.1091472879,
321,0.1101944447,
320,0.1117687002,
319,0.1134088784,
318,0.1129154265,
317,0.1144961566,
316,0.1156823784,
315,0.1189244613,
314,0.118566446,
313,0.1216216758,
312,0.1222638264,
311,0.1250669807,
310,0.1277797967,
309,0.1285687834,
308,0.1254826188,
307,0.1277484596,
306,0.130633682,
305,0.1328419596,
304,0.1363072544,
303,0.139998585,
302,0.143671155,
301,0.1473322511,
300,0.1518920064,
299,0.1558167785,
298,0.1606959999,
297,0.1661417484,
296,0.1721157134,
295,0.1778228581,
294,0.1837446094,
293,0.1913363934,
292,0.1992504299,
291,0.20927082,
290,0.2208943665,
289,0.2334015667,
288,0.2477137446,
287,0.2671526372,
286,0.2877603173,
285,0.3132959008,
284,0.3426547348,
283,0.3758622706,
282,0.4142625332,
281,0.4559431076,
280,0.5009639859,
279,0.5484800339,
278,0.5977932811,
277,0.6468219757,
276,0.6963997483,
275,0.7455159426,
274,0.7936811447,
273,0.8415549994,
272,0.8883113861,
271,0.932046473,
270,0.9744051695,
269,1.011973262,
268,1.046028376,
267,1.078000546,
266,1.104950666,
265,1.12997067,
264,1.149058342,
263,1.162772298,
262,1.173931479,
261,1.179828048,
260,1.183775425,
259,1.184139252,
258,1.180038214,
257,1.173267722,
256,1.167065144,
255,1.157532573,
254,1.146775842,
253,1.135392666,
252,1.12435627,
251,1.113050103,
250,1.102713346,
249,1.091128945,
248,1.082706809,
247,1.074081063,
246,1.066886663,
245,1.063482285,
244,1.062210917,
243,1.061990976,
242,1.066343188,
241,1.07101357,
240,1.07870996,
239,1.089325905,
238,1.103833556,
237,1.120016217,
236,1.140173554,
235,1.163189888,
234,1.18936944,
233,1.21872437,
232,1.252790689,
231,1.28977704,
230,1.331024885,
229,1.375109315,
228,1.426163554,
227,1.482744932,
226,1.544210553,
225,1.617437601,
224,1.703451037,
223,1.8009094,
222,1.919773221,
221,2.064142466,
220,2.236128569,

x29 t0,
x29 t0
Collection Time: 27/08/2024 9:53:31 AM
Operator Name  :
Scan Software Version: 3.00(182)
Parameter List :
Instrument                        Cary 300
Instrument Version                9.00
Start (nm)                        349.00
Stop (nm)                         220.00
X Mode                            Nanometers
Y Mode                            Abs
UV-Vis Scan Rate (nm/min)         600.000
UV-Vis Data Interval (nm)         1.000
UV-Vis Ave. Time (sec)            0.100
UV-Vis SBW (nm)                   2.0
Beam Mode                         Double
Signal-to-noise Mode              Off
UV Source                         On
Vis Source                        On
Source Changeover (nm)            350.00
Baseline Correction               On
Baseline Type                     Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode                        Off
Comments
Method Log     :
Method Name    : E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Date/Time stamp: 14/05/2024 10:46:35 AM
Method Modifications:
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Saved as E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
Opened E:\Dokumente und Einstellungen\Cary\Robert_RTG_Cary300\2024-05-13-RTG-standard.MSW
End Method Modifications
<SBW (nm)> , 2.00
<Energy> , 160.00
<Current Wavelength> , 220.00

